size,density,bfs_cost,bfs_time,ucs_cost,ucs_time,greedy_cost,greedy_time,astar_cost,astar_time,mcts_cost,mcts_time,best_algorithm
10,0.20652687653641627,67,5.793571472167969e-05,58,7.605552673339844e-05,77,4.887580871582031e-05,58,6.794929504394531e-05,1141,0.4230010509490967,astar
10,0.20642369324994325,80,5.984306335449219e-05,64,9.012222290039062e-05,79,2.193450927734375e-05,64,9.584426879882812e-05,847,0.15351104736328125,ucs
10,0.31217421262755496,73,6.008148193359375e-05,69,8.20159912109375e-05,116,3.409385681152344e-05,69,8.106231689453125e-05,10302,0.20837903022766113,astar
10,0.309556316814685,84,6.103515625e-05,50,8.20159912109375e-05,70,2.3126602172851562e-05,50,7.176399230957031e-05,2181,0.14657092094421387,astar
20,0.3213293069504547,173,0.000225067138671875,139,0.0003428459167480469,158,5.221366882324219e-05,139,0.00037407875061035156,18863,2.0864198207855225,ucs
10,0.30020268263363664,89,6.175041198730469e-05,55,8.797645568847656e-05,76,2.4080276489257812e-05,55,8.606910705566406e-05,1279,0.11950922012329102,astar
20,0.3235708316193454,163,0.0002162456512451172,136,0.0003209114074707031,172,4.291534423828125e-05,136,0.00032806396484375,3484,2.6350560188293457,ucs
20,0.33622185727775944,196,0.00019097328186035156,181,0.00028634071350097656,245,0.0001289844512939453,181,0.0002868175506591797,8241,2.596341133117676,ucs
20,0.2194923836110388,199,0.00025391578674316406,120,0.0003719329833984375,168,6.508827209472656e-05,120,0.0003752708435058594,36601,1.491192102432251,ucs
20,0.3165330013216812,189,0.0001499652862548828,139,0.0002262592315673828,212,5.412101745605469e-05,139,0.00024080276489257812,28162,1.5356850624084473,ucs
10,0.2641319015400011,86,6.198883056640625e-05,50,8.797645568847656e-05,96,2.09808349609375e-05,50,8.511543273925781e-05,1082,0.14523911476135254,astar
10,0.3040112465475082,87,4.601478576660156e-05,72,6.4849853515625e-05,94,2.09808349609375e-05,72,5.793571472167969e-05,1721,0.34340906143188477,astar
10,0.21821021090686452,70,6.103515625e-05,50,9.179115295410156e-05,99,2.3126602172851562e-05,50,9.202957153320312e-05,4553,0.24570703506469727,ucs
20,0.2498030287241106,173,0.000247955322265625,157,0.0003769397735595703,193,5.125999450683594e-05,157,0.0004031658172607422,20569,1.277693748474121,ucs
10,0.21462487303893663,67,5.7220458984375e-05,53,8.392333984375e-05,57,2.288818359375e-05,53,8.0108642578125e-05,299,0.13198018074035645,astar
10,0.26726947956283004,86,5.2928924560546875e-05,74,7.891654968261719e-05,98,2.5987625122070312e-05,74,8.20159912109375e-05,880,0.40397095680236816,ucs
20,0.2128661068812388,180,0.0002391338348388672,119,0.00036525726318359375,199,5.316734313964844e-05,119,0.0003848075866699219,22204,1.0631680488586426,ucs
20,0.2843076285692563,178,0.00021982192993164062,142,0.0003337860107421875,202,6.508827209472656e-05,142,0.0003457069396972656,23841,1.4028921127319336,ucs
20,0.2551535737744974,178,0.0002460479736328125,132,0.0003750324249267578,206,5.793571472167969e-05,132,0.0003781318664550781,8787,1.4089529514312744,ucs
10,0.24950963864502115,71,5.888938903808594e-05,46,6.604194641113281e-05,76,2.09808349609375e-05,46,5.2928924560546875e-05,597,0.27513909339904785,astar
20,0.2774437532124242,161,0.00023818016052246094,122,0.0003669261932373047,166,4.696846008300781e-05,122,0.00037407875061035156,146888,1.567199945449829,ucs
20,0.24624946236074585,155,0.00025177001953125,132,0.00038909912109375,192,4.6253204345703125e-05,132,0.0004229545593261719,3940,1.1038479804992676,ucs
20,0.23177606879860516,130,0.000244140625,94,0.0003390312194824219,190,5.507469177246094e-05,94,0.0002741813659667969,3977,1.200599193572998,astar
20,0.20208102579796086,165,0.0002567768096923828,117,0.00039505958557128906,181,4.982948303222656e-05,117,0.00043010711669921875,30461,1.529508113861084,ucs
10,0.20253841095492015,83,5.984306335449219e-05,63,8.916854858398438e-05,93,2.2172927856445312e-05,63,8.225440979003906e-05,768,0.1051638126373291,astar
20,0.2141969357694578,164,0.0002541542053222656,129,0.0003800392150878906,175,5.91278076171875e-05,129,0.0004010200500488281,16160,1.2089130878448486,ucs
10,0.35272538115333646,87,6.198883056640625e-05,67,9.393692016601562e-05,111,2.5987625122070312e-05,67,9.226799011230469e-05,2481,0.2455899715423584,astar
20,0.23893993052609483,192,0.00024390220642089844,92,0.0003459453582763672,174,4.982948303222656e-05,92,0.00027298927307128906,43665,1.2025680541992188,astar
10,0.27981454039508846,93,5.1975250244140625e-05,70,7.891654968261719e-05,79,3.1948089599609375e-05,70,7.987022399902344e-05,2610,0.3505129814147949,ucs
20,0.3377327359427001,190,0.0001671314239501953,149,0.000225067138671875,200,7.390975952148438e-05,149,0.00022602081298828125,33563,1.886235237121582,ucs
10,0.3947228834644103,104,3.600120544433594e-05,86,5.3882598876953125e-05,92,2.574920654296875e-05,86,5.2928924560546875e-05,1704,0.4727187156677246,astar
